chr	start	end	ID
chr1	24610000	24620000	chr1_24610000
chr1	48880000	48890000	chr1_48880000
chr1	58610000	58620000	chr1_58610000
chr1	78570000	78580000	chr1_78570000
chr1	88210000	88220000	chr1_88210000
chr1	88220000	88230000	chr1_88220000
chr1	133590000	133600000	chr1_133590000
chr1	183290000	183300000	chr1_183290000
chr1	195240000	195250000	chr1_195240000
chr2	3050000	3060000	chr2_3050000
chr2	5370000	5380000	chr2_5370000
chr2	22740000	22750000	chr2_22740000
chr2	90390000	90400000	chr2_90390000
chr2	98660000	98670000	chr2_98660000
chr2	181910000	181920000	chr2_181910000
chr2	181920000	181930000	chr2_181920000
chr2	181930000	181940000	chr2_181930000
chr3	5860000	5870000	chr3_5860000
chr3	8240000	8250000	chr3_8240000
chr4	34930000	34940000	chr4_34930000
chr4	70370000	70380000	chr4_70370000
chr4	118540000	118550000	chr4_118540000
chr5	14910000	14920000	chr5_14910000
chr5	15000000	15010000	chr5_15000000
chr5	15460000	15470000	chr5_15460000
chr5	15480000	15490000	chr5_15480000
chr5	134370000	134380000	chr5_134370000
chr5	137150000	137160000	chr5_137150000
chr5	146260000	146270000	chr5_146260000
chr6	3200000	3210000	chr6_3200000
chr6	103640000	103650000	chr6_103640000
chr7	12010000	12020000	chr7_12010000
chr8	14300000	14310000	chr8_14300000
chr8	15510000	15520000	chr8_15510000
chr8	15520000	15530000	chr8_15520000
chr8	19710000	19720000	chr8_19710000
chr9	2990000	3000000	chr9_2990000
chr9	3000000	3010000	chr9_3000000
chr9	3010000	3020000	chr9_3010000
chr9	3020000	3030000	chr9_3020000
chr9	3030000	3040000	chr9_3030000
chr9	24540000	24550000	chr9_24540000
chr9	35300000	35310000	chr9_35300000
chr9	110280000	110290000	chr9_110280000
chr9	123870000	123880000	chr9_123870000
chr10	3110000	3120000	chr10_3110000
chr10	22140000	22150000	chr10_22140000
chr10	58220000	58230000	chr10_58220000
chr11	3140000	3150000	chr11_3140000
chr11	3150000	3160000	chr11_3150000
chr11	3160000	3170000	chr11_3160000
chr11	3170000	3180000	chr11_3170000
chr11	3180000	3190000	chr11_3180000
chr11	3190000	3200000	chr11_3190000
chr11	3200000	3210000	chr11_3200000
chr11	54130000	54140000	chr11_54130000
chr11	54140000	54150000	chr11_54140000
chr11	88960000	88970000	chr11_88960000
chr11	88970000	88980000	chr11_88970000
chr11	109010000	109020000	chr11_109010000
chr12	3100000	3110000	chr12_3100000
chr12	3110000	3120000	chr12_3110000
chr12	105430000	105440000	chr12_105430000
chr13	3370000	3380000	chr13_3370000
chr13	77430000	77440000	chr13_77430000
chr13	97190000	97200000	chr13_97190000
chr13	99790000	99800000	chr13_99790000
chr13	119480000	119490000	chr13_119480000
chr13	119590000	119600000	chr13_119590000
chr13	119600000	119610000	chr13_119600000
chr13	119610000	119620000	chr13_119610000
chr14	19410000	19420000	chr14_19410000
chr14	47450000	47460000	chr14_47450000
chr15	75080000	75090000	chr15_75080000
chr16	11140000	11150000	chr16_11140000
chr16	57390000	57400000	chr16_57390000
chr17	13300000	13310000	chr17_13300000
chr17	13590000	13600000	chr17_13590000
chr17	13650000	13660000	chr17_13650000
chr17	36230000	36240000	chr17_36230000
chr17	39840000	39850000	chr17_39840000
chr18	3000000	3010000	chr18_3000000
chr18	12940000	12950000	chr18_12940000
chr18	40300000	40310000	chr18_40300000
chr18	68690000	68700000	chr18_68690000
chr19	45650000	45660000	chr19_45650000
chr19	61190000	61200000	chr19_61190000
chr19	61220000	61230000	chr19_61220000
chr19	61260000	61270000	chr19_61260000
